tick,npc_id,hp,max_hp,stress,resentment,identity_integrity,intent,intent_score,emotion,gold,delta_stress,delta_gold,delta_hp,max_urgency,active_drives
8,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.823,нейтрально,70.6,0.0,0.0,0,0.38,
8,maid_lusya,15,15,0.08,0.0,1.0,seek_ally,0.455,нейтрально,6.9,0.01,0.0,0,0.37,
8,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.949,нейтрально,51.0,0.0,0.0,0,0.38,
8,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.744,нейтрально,36.3,0.0,0.0,0,0.38,
8,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.554,нейтрально,41.2,0.0,0.0,0,0.39,
8,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.38,
9,guard_borko,30,30,0.0,0.0,1.0,ambush,0.379,нейтрально,16.7,0.0,0.0,0,0.4,
9,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.686,нейтрально,70.6,0.0,0.0,0,0.39,
9,maid_lusya,15,15,0.09,0.0,1.0,seek_ally,0.273,нейтрально,6.9,0.01,0.0,0,0.38,
9,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.889,нейтрально,51.0,0.0,0.0,0,0.39,
9,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.584,нейтрально,36.3,0.0,0.0,0,0.39,
9,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.298,нейтрально,41.2,0.0,0.0,0,0.4,
9,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.39,
10,guard_borko,30,30,0.0,0.0,1.0,ambush,0.409,нейтрально,16.7,0.0,0.0,0,0.41,
10,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.702,нейтрально,70.6,0.0,0.0,0,0.43,
10,maid_lusya,15,15,0.1,0.0,1.0,seek_ally,0.351,нейтрально,6.9,0.01,0.0,0,0.41,
10,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.661,нейтрально,51.0,0.0,0.0,0,0.42,
10,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.544,нейтрально,36.3,0.0,0.0,0,0.42,
10,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.217,нейтрально,41.2,0.0,0.0,0,0.41,
10,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.4,
11,guard_borko,30,30,0.0,0.0,1.0,ambush,0.198,нейтрально,16.7,0.0,0.0,0,0.42,
11,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.515,нейтрально,70.6,0.0,0.0,0,0.41,
11,maid_lusya,15,15,0.11,0.0,1.0,seek_ally,0.246,нейтрально,6.9,0.01,0.0,0,0.49,
11,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.703,нейтрально,51.0,0.0,0.0,0,0.41,
11,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.463,нейтрально,36.3,0.0,0.0,0,0.5,
11,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.208,нейтрально,41.2,0.0,0.0,0,0.42,
11,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.41,
12,guard_borko,30,30,0.0,0.0,1.0,idle,0.0,нейтрально,16.7,0.0,0.0,0,0.43,
12,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.526,нейтрально,70.6,0.0,0.0,0,0.42,
12,maid_lusya,15,15,0.12,0.0,1.0,idle,0.0,нейтрально,6.9,0.01,0.0,0,0.58,
12,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.536,нейтрально,51.0,0.0,0.0,0,0.42,
12,thief_shadow,35,35,0.0,0.0,1.0,block_path,0.349,нейтрально,36.3,0.0,0.0,0,0.58,
12,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.211,нейтрально,41.2,0.0,0.0,0,0.43,
12,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.42,
13,guard_borko,30,30,0.0,0.0,1.0,block_path,0.407,нейтрально,16.7,0.0,0.0,0,0.44,
13,merchant_goran,20,20,0.0,0.0,1.0,request_service,0.301,нейтрально,70.6,0.0,0.0,0,0.43,
13,maid_lusya,15,15,8.88,0.0,1.0,talk,0.297,тревога,6.9,8.76,0.0,0,0.66,hunger(0.66)
13,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.391,нейтрально,51.0,0.0,0.0,0,0.43,
13,thief_shadow,35,35,4.7,0.0,1.0,block_path,0.25,тревога,36.3,4.7,0.0,0,0.66,hunger(0.66)
13,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.261,нейтрально,41.2,0.0,0.0,0,0.44,
13,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.43,
14,guard_borko,30,30,0.0,0.0,1.0,block_path,0.434,нейтрально,16.7,0.0,0.0,0,0.45,
14,merchant_goran,20,20,0.0,0.0,1.0,offer_job,0.571,нейтрально,70.6,0.0,0.0,0,0.44,
14,maid_lusya,15,15,8.89,0.0,1.0,idle,0.0,тревога,6.79,0.01,0.0,0,0.43,
14,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.437,нейтрально,51.0,0.0,0.0,0,0.44,
14,thief_shadow,35,35,4.7,0.0,1.0,block_path,0.181,тревога,36.19,0.0,0.0,0,0.44,
14,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.21,нейтрально,41.42,0.0,0.0,0,0.45,
14,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.44,
15,guard_borko,30,30,0.0,0.0,1.0,block_path,0.373,нейтрально,16.7,0.0,0.0,0,0.46,
15,merchant_goran,20,20,0.0,0.0,1.0,offer_job,0.665,нейтрально,70.6,0.0,0.0,0,0.45,
15,maid_lusya,15,15,8.9,0.0,1.0,seek_ally,0.297,тревога,6.79,0.01,0.0,0,0.44,
15,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.169,нейтрально,51.0,0.0,0.0,0,0.45,
15,thief_shadow,35,35,4.7,0.0,1.0,ambush,0.465,тревога,36.19,0.0,0.0,0,0.45,
15,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.252,нейтрально,41.42,0.0,0.0,0,0.46,
15,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.45,
16,guard_borko,30,30,0.0,0.0,1.0,block_path,0.481,нейтрально,16.7,0.0,0.0,0,0.47,
16,merchant_goran,20,20,0.0,0.0,1.0,offer_job,0.71,нейтрально,70.6,0.0,0.0,0,0.46,
16,maid_lusya,15,15,8.91,0.0,1.0,seek_ally,0.167,тревога,6.79,0.01,0.0,0,0.45,
16,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.239,нейтрально,51.0,0.0,0.0,0,0.46,
16,thief_shadow,35,35,4.7,0.0,1.0,ambush,0.572,тревога,36.19,0.0,0.0,0,0.46,
16,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.306,нейтрально,41.42,0.0,0.0,0,0.47,
16,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.46,
17,guard_borko,30,30,0.0,0.0,1.0,block_path,0.481,нейтрально,16.7,0.0,0.0,0,0.48,
17,merchant_goran,20,20,0.0,0.0,1.0,offer_job,0.636,нейтрально,70.6,0.0,0.0,0,0.47,
17,maid_lusya,15,15,8.92,0.0,1.0,seek_ally,0.223,тревога,6.79,0.01,0.0,0,0.46,
17,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.162,нейтрально,51.0,0.0,0.0,0,0.47,
17,thief_shadow,35,35,4.7,0.0,1.0,ambush,0.435,тревога,36.19,0.0,0.0,0,0.47,
17,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.32,нейтрально,41.42,0.0,0.0,0,0.49,
17,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.47,
18,guard_borko,30,30,0.0,0.0,1.0,block_path,0.422,нейтрально,16.7,0.0,0.0,0,0.49,
18,merchant_goran,20,20,0.0,0.0,1.0,offer_job,0.762,нейтрально,70.6,0.0,0.0,0,0.48,
18,maid_lusya,15,15,8.93,0.0,1.0,seek_ally,0.391,тревога,6.79,0.01,0.0,0,0.47,
18,blacksmith_orm,45,45,0.0,0.0,1.0,offer_job,0.307,нейтрально,51.0,0.0,0.0,0,0.48,
18,thief_shadow,35,35,4.7,0.0,1.0,ambush,0.583,тревога,36.19,0.0,0.0,0,0.48,
18,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.456,нейтрально,41.42,0.0,0.0,0,0.5,
18,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.48,
19,guard_borko,30,30,0.0,0.0,1.0,block_path,0.456,нейтрально,16.7,0.0,0.0,0,0.5,
19,merchant_goran,20,20,0.0,0.0,1.0,offer_job,0.769,нейтрально,70.6,0.0,0.0,0,0.49,
19,maid_lusya,15,15,8.94,0.0,1.0,seek_ally,0.274,нейтрально,6.79,0.01,0.0,0,0.48,
19,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.654,нейтрально,51.0,0.0,0.0,0,0.49,
19,thief_shadow,35,35,4.7,0.0,1.0,ambush,0.481,нейтрально,36.19,0.0,0.0,0,0.49,
19,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.375,нейтрально,41.42,0.0,0.0,0,0.51,
19,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.49,
20,guard_borko,30,30,0.0,0.0,1.0,block_path,0.553,нейтрально,16.7,0.0,0.0,0,0.57,
20,merchant_goran,20,20,0.0,0.0,1.0,offer_job,0.819,нейтрально,70.6,0.0,0.0,0,0.5,
20,maid_lusya,15,15,8.95,0.0,1.0,seek_ally,0.466,нейтрально,6.79,0.01,0.0,0,0.49,
20,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.65,нейтрально,51.0,0.0,0.0,0,0.5,
20,thief_shadow,35,35,4.7,0.0,1.0,ambush,0.505,нейтрально,36.19,0.0,0.0,0,0.5,
20,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.493,нейтрально,41.42,0.0,0.0,0,0.52,
20,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.5,
21,guard_borko,30,30,4.55,0.0,1.0,block_path,0.402,тревога,16.7,4.55,0.0,0,0.64,hunger(0.64)
21,merchant_goran,20,20,0.0,0.0,1.0,offer_job,0.85,нейтрально,70.6,0.0,0.0,0,0.51,
21,maid_lusya,15,15,8.96,0.0,1.0,seek_ally,0.418,нейтрально,6.79,0.01,0.0,0,0.5,
21,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.786,нейтрально,51.0,0.0,0.0,0,0.51,
21,thief_shadow,35,35,4.7,0.0,1.0,ambush,0.625,нейтрально,36.19,0.0,0.0,0,0.51,
21,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.314,нейтрально,41.42,0.0,0.0,0,0.53,
21,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.51,
22,guard_borko,30,30,4.55,0.0,1.0,block_path,0.418,тревога,16.59,0.0,0.0,0,0.54,
22,merchant_goran,20,20,0.0,0.0,1.0,offer_job,0.724,нейтрально,70.6,0.0,0.0,0,0.6,
22,maid_lusya,15,15,8.97,0.0,1.0,seek_ally,0.446,нейтрально,6.79,0.01,0.0,0,0.5,
22,blacksmith_orm,45,45,0.0,0.0,1.0,request_service,0.853,нейтрально,51.0,0.0,0.0,0,0.59,
22,thief_shadow,35,35,4.7,0.0,1.0,ambush,0.674,нейтрально,36.19,0.0,0.0,0,0.52,
22,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.38,нейтрально,41.53,0.0,0.0,0,0.54,
22,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.56,
23,guard_borko,30,30,4.55,0.0,1.0,block_path,0.25,тревога,16.59,0.0,0.0,0,0.55,
23,merchant_goran,20,20,4.81,0.0,1.0,offer_job,0.686,страх,70.6,4.81,0.0,0,0.68,hunger(0.68)
23,maid_lusya,15,15,8.98,0.0,1.0,seek_ally,0.28,нейтрально,6.79,0.01,0.0,0,0.51,
23,blacksmith_orm,45,45,4.74,0.0,1.0,request_service,0.787,тревога,51.0,4.74,0.0,0,0.67,hunger(0.67)
23,thief_shadow,35,35,4.7,0.0,1.0,ambush,0.515,нейтрально,36.19,0.0,0.0,0,0.53,
23,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.282,нейтрально,41.53,0.0,0.0,0,0.55,
23,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,48.0,0.0,0.0,0,0.64,hunger
24,guard_borko,30,30,3.05,0.0,1.0,block_path,0.229,тревога,17.29,-1.5,0.0,0,0.56,
24,merchant_goran,20,20,3.31,0.0,1.0,offer_job,0.501,тревога,69.79,-1.5,0.0,0,0.54,
24,maid_lusya,15,15,7.49,0.0,1.0,seek_ally,0.257,нейтрально,7.09,-1.49,0.0,0,0.52,
24,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.803,тревога,50.89,-1.5,0.0,0,0.54,
24,thief_shadow,35,35,3.2,0.0,1.0,ambush,0.516,нейтрально,36.19,-1.5,0.0,0,0.54,
24,tavern_keeper_tornin,40,40,0.0,0.0,1.0,call_for_help,0.221,нейтрально,41.56,0.0,0.0,0,0.56,
24,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.54,
25,guard_borko,30,30,3.05,0.0,1.0,idle,0.0,тревога,17.14,0.0,0.0,0,0.31,
25,merchant_goran,20,20,3.31,0.0,1.0,offer_job,0.399,тревога,72.89,0.0,0.0,0,0.31,
25,maid_lusya,15,15,7.5,0.0,1.0,seek_ally,0.237,нейтрально,6.99,0.01,0.0,0,0.31,
25,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.914,тревога,55.09,0.0,0.0,0,0.31,
25,thief_shadow,35,35,3.2,0.0,1.0,ambush,0.361,нейтрально,36.09,0.0,0.0,0,0.55,
25,tavern_keeper_tornin,40,40,0.0,0.0,1.0,idle,0.0,нейтрально,41.31,0.0,0.0,0,0.31,
25,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.55,
26,guard_borko,30,30,3.05,0.0,1.0,seek_ally,0.303,нейтрально,17.14,0.0,0.0,0,0.36,
26,merchant_goran,20,20,3.31,0.0,1.0,request_service,0.556,тревога,72.89,0.0,0.0,0,0.32,
26,maid_lusya,15,15,7.51,0.0,1.0,idle,0.0,нейтрально,6.99,0.01,0.0,0,0.32,
26,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.882,тревога,55.09,0.0,0.0,0,0.32,
26,thief_shadow,35,35,3.2,0.0,1.0,ambush,0.226,нейтрально,36.09,0.0,0.0,0,0.56,
26,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.338,нейтрально,41.6,0.0,0.0,0,0.32,
26,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.56,
27,guard_borko,30,30,3.05,0.0,1.0,seek_ally,0.187,нейтрально,17.14,0.0,0.0,0,0.43,
27,merchant_goran,20,20,3.31,0.0,1.0,request_service,0.554,тревога,72.89,0.0,0.0,0,0.34,
27,maid_lusya,15,15,7.52,0.0,1.0,call_for_help,0.217,нейтрально,6.99,0.01,0.0,0,0.33,
27,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.777,тревога,55.09,0.0,0.0,0,0.33,
27,thief_shadow,35,35,3.2,0.0,1.0,ambush,0.192,нейтрально,36.09,0.0,0.0,0,0.57,
27,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.242,нейтрально,41.6,0.0,0.0,0,0.33,
27,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.57,
28,guard_borko,30,30,3.05,0.0,1.0,seek_ally,0.342,нейтрально,17.14,0.0,0.0,0,0.34,
28,merchant_goran,20,20,3.31,0.0,1.0,request_service,0.614,тревога,72.89,0.0,0.0,0,0.43,
28,maid_lusya,15,15,7.53,0.0,1.0,call_for_help,0.241,нейтрально,6.99,0.01,0.0,0,0.41,
28,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.666,тревога,55.09,0.0,0.0,0,0.42,
28,thief_shadow,35,35,3.2,0.0,1.0,block_path,0.441,нейтрально,36.09,0.0,0.0,0,0.58,
28,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.385,нейтрально,41.6,0.0,0.0,0,0.34,
28,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.58,
29,guard_borko,30,30,3.05,0.0,1.0,seek_ally,0.355,нейтрально,17.14,0.0,0.0,0,0.35,
29,merchant_goran,20,20,3.31,0.0,1.0,request_service,0.746,нейтрально,72.89,0.0,0.0,0,0.35,
29,maid_lusya,15,15,7.54,0.0,1.0,call_for_help,0.271,нейтрально,6.99,0.01,0.0,0,0.49,
29,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.737,нейтрально,55.09,0.0,0.0,0,0.35,
29,thief_shadow,35,35,3.2,0.0,1.0,block_path,0.49,нейтрально,36.09,0.0,0.0,0,0.59,
29,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.282,нейтрально,41.6,0.0,0.0,0,0.35,
29,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.59,
30,guard_borko,30,30,3.05,0.0,1.0,seek_ally,0.305,нейтрально,17.14,0.0,0.0,0,0.36,
30,merchant_goran,20,20,3.31,0.0,1.0,request_service,0.672,нейтрально,72.89,0.0,0.0,0,0.36,
30,maid_lusya,15,15,7.55,0.0,1.0,call_for_help,0.336,нейтрально,6.99,0.01,0.0,0,0.58,
30,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.515,нейтрально,55.09,0.0,0.0,0,0.36,
30,thief_shadow,35,35,3.2,0.0,1.0,block_path,0.482,нейтрально,36.09,0.0,0.0,0,0.6,income_urge(0.60)
30,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.477,нейтрально,41.6,0.0,0.0,0,0.42,
30,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.6,
31,guard_borko,30,30,3.05,0.0,1.0,seek_ally,0.408,нейтрально,17.14,0.0,0.0,0,0.37,
31,merchant_goran,20,20,3.31,0.0,1.0,request_service,0.745,нейтрально,72.89,0.0,0.0,0,0.37,
31,maid_lusya,15,15,7.56,0.0,1.0,call_for_help,0.348,нейтрально,6.99,0.01,0.0,0,0.66,hunger(0.66)
31,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.519,нейтрально,55.09,0.0,0.0,0,0.37,
31,thief_shadow,35,35,3.2,0.0,1.0,block_path,0.474,нейтрально,36.09,0.0,0.0,0,0.66,hunger(0.66); income_urge(0.61)
31,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.438,нейтрально,41.6,0.0,0.0,0,0.38,
31,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.61,hunger
32,guard_borko,30,30,3.05,0.0,1.0,seek_ally,0.34,нейтрально,17.14,0.0,0.0,0,0.39,
32,merchant_goran,20,20,3.31,0.0,1.0,request_service,0.702,нейтрально,72.89,0.0,0.0,0,0.38,
32,maid_lusya,15,15,7.57,0.0,1.0,call_for_help,0.464,нейтрально,6.88,0.01,0.0,0,0.37,
32,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.431,нейтрально,55.09,0.0,0.0,0,0.38,
32,thief_shadow,35,35,3.2,0.0,1.0,block_path,0.647,нейтрально,35.98,0.0,0.0,0,0.62,income_urge(0.62)
32,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.358,нейтрально,41.82,0.0,0.0,0,0.39,
32,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.62,hunger
33,guard_borko,30,30,3.05,0.0,1.0,seek_ally,0.526,нейтрально,17.14,0.0,0.0,0,0.43,
33,merchant_goran,20,20,3.31,0.0,1.0,request_service,0.852,нейтрально,72.89,0.0,0.0,0,0.43,
33,maid_lusya,15,15,7.58,0.0,1.0,call_for_help,0.347,нейтрально,6.88,0.01,0.0,0,0.38,
33,blacksmith_orm,45,45,3.24,0.0,1.0,request_service,0.205,нейтрально,55.09,0.0,0.0,0,0.42,
33,thief_shadow,35,35,3.2,0.0,1.0,block_path,0.668,нейтрально,35.98,0.0,0.0,0,0.63,income_urge(0.63)
33,tavern_keeper_tornin,40,40,0.0,0.0,1.0,spread_rumor,0.389,нейтрально,41.82,0.0,0.0,0,0.4,
33,player,100,100,0.0,0.0,1.0,survive,0.0,спокоен,47.89,0.0,0.0,0,0.63,hunger
34,guard_borko,30,30,3.05,0.0,1.0,seek_ally,0.272,нейтрально,17.14,0.0,0.0,0,0.41,
34,merchant_goran,20,20,3.31,0.0,1.0,request_service,0.647,нейтрально,72.89,0.0,0.0,0,0.4,
34,maid_lusya,15,15,7.59,0.0,1.0,call_for_help,0.367,нейтрально,6.88,0.01,0.0,0,0.39,
34,blacksmith_orm,45,45,3.24,0.0,1.0,change_role,0.346,нейтрально,55.09,0.0,0.0,0,0.4,
